YEAR,NAME,DATE,DRIVER_NAME,DRIVER_NATIONALITY,CONSTRUCTOR_NAME,CONSTRUCTOR_NATIONALITY,POINTS,LAPS,FASTESTLAPTIME,STARTING_POSITION,POSITIONS_GAINED
2017,Russian Grand Prix,2017-04-30,Valtteri Bottas,Finnish,Mercedes,German,25.0,52,1:37.367,3,2
2017,Bahrain Grand Prix,2017-04-16,Sebastian Vettel,German,Ferrari,Italian,25.0,57,1:33.826,3,2
2017,Chinese Grand Prix,2017-04-09,Lewis Hamilton,British,Mercedes,German,25.0,56,1:35.378,1,0
2017,Australian Grand Prix,2017-03-26,Sebastian Vettel,German,Ferrari,Italian,25.0,57,1:26.638,2,1
2016,Abu Dhabi Grand Prix,2016-11-27,Lewis Hamilton,British,Mercedes,German,25.0,55,1:45.137,1,0
2016,Brazilian Grand Prix,2016-11-13,Lewis Hamilton,British,Mercedes,German,25.0,71,1:25.639,1,0
2016,Mexican Grand Prix,2016-10-30,Lewis Hamilton,British,Mercedes,German,25.0,71,1:22.596,1,0
2016,United States Grand Prix,2016-10-23,Lewis Hamilton,British,Mercedes,German,25.0,56,1:42.386,1,0
2016,Japanese Grand Prix,2016-10-09,Nico Rosberg,German,Mercedes,German,25.0,53,1:36.049,1,0
2016,Malaysian Grand Prix,2016-10-02,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,56,1:37.449,4,3
2016,Singapore Grand Prix,2016-09-18,Nico Rosberg,German,Mercedes,German,25.0,61,1:50.296,1,0
2016,Italian Grand Prix,2016-09-04,Nico Rosberg,German,Mercedes,German,25.0,53,1:26.599,2,1
2016,Belgian Grand Prix,2016-08-28,Nico Rosberg,German,Mercedes,German,25.0,44,1:51.746,1,0
2016,German Grand Prix,2016-07-31,Lewis Hamilton,British,Mercedes,German,25.0,67,1:18.746,2,1
2016,Hungarian Grand Prix,2016-07-24,Lewis Hamilton,British,Mercedes,German,25.0,70,1:23.849,2,1
2016,British Grand Prix,2016-07-10,Lewis Hamilton,British,Mercedes,German,25.0,52,1:35.771,1,0
2016,Austrian Grand Prix,2016-07-03,Lewis Hamilton,British,Mercedes,German,25.0,71,1:08.411,1,0
2016,European Grand Prix,2016-06-19,Nico Rosberg,German,Mercedes,German,25.0,51,1:46.485,1,0
2016,Canadian Grand Prix,2016-06-12,Lewis Hamilton,British,Mercedes,German,25.0,70,1:15.981,1,0
2016,Monaco Grand Prix,2016-05-29,Lewis Hamilton,British,Mercedes,German,25.0,78,1:17.939,3,2
2016,Spanish Grand Prix,2016-05-15,Max Verstappen,Dutch,Red Bull,Austrian,25.0,66,1:28.816,4,3
2016,Russian Grand Prix,2016-05-01,Nico Rosberg,German,Mercedes,German,25.0,53,1:39.094,1,0
2016,Chinese Grand Prix,2016-04-17,Nico Rosberg,German,Mercedes,German,25.0,56,1:40.418,1,0
2016,Bahrain Grand Prix,2016-04-03,Nico Rosberg,German,Mercedes,German,25.0,57,1:34.482,2,1
2016,Australian Grand Prix,2016-03-20,Nico Rosberg,German,Mercedes,German,25.0,57,1:30.557,2,1
2015,Abu Dhabi Grand Prix,2015-11-29,Nico Rosberg,German,Mercedes,German,25.0,55,1:45.356,1,0
2015,Brazilian Grand Prix,2015-11-15,Nico Rosberg,German,Mercedes,German,25.0,71,1:14.957,1,0
2015,Mexican Grand Prix,2015-11-01,Nico Rosberg,German,Mercedes,German,25.0,71,1:20.521,1,0
2015,United States Grand Prix,2015-10-25,Lewis Hamilton,British,Mercedes,German,25.0,56,1:40.738,2,1
2015,Russian Grand Prix,2015-10-11,Lewis Hamilton,British,Mercedes,German,25.0,53,1:40.573,2,1
2015,Japanese Grand Prix,2015-09-27,Lewis Hamilton,British,Mercedes,German,25.0,53,1:36.145,2,1
2015,Singapore Grand Prix,2015-09-20,Sebastian Vettel,German,Ferrari,Italian,25.0,61,1:50.069,1,0
2015,Italian Grand Prix,2015-09-06,Lewis Hamilton,British,Mercedes,German,25.0,53,1:26.672,1,0
2015,Belgian Grand Prix,2015-08-23,Lewis Hamilton,British,Mercedes,German,25.0,43,1:52.504,1,0
2015,Hungarian Grand Prix,2015-07-26,Sebastian Vettel,German,Ferrari,Italian,25.0,69,1:26.772,3,2
2015,British Grand Prix,2015-07-05,Lewis Hamilton,British,Mercedes,German,25.0,52,1:37.093,1,0
2015,Austrian Grand Prix,2015-06-21,Nico Rosberg,German,Mercedes,German,25.0,71,1:11.235,2,1
2015,Canadian Grand Prix,2015-06-07,Lewis Hamilton,British,Mercedes,German,25.0,70,1:17.472,1,0
2015,Monaco Grand Prix,2015-05-24,Nico Rosberg,German,Mercedes,German,25.0,78,1:18.599,2,1
2015,Spanish Grand Prix,2015-05-10,Nico Rosberg,German,Mercedes,German,25.0,66,1:29.109,1,0
2015,Bahrain Grand Prix,2015-04-19,Lewis Hamilton,British,Mercedes,German,25.0,57,1:37.857,1,0
2015,Chinese Grand Prix,2015-04-12,Lewis Hamilton,British,Mercedes,German,25.0,56,1:42.208,1,0
2015,Malaysian Grand Prix,2015-03-29,Sebastian Vettel,German,Ferrari,Italian,25.0,56,1:43.648,2,1
2015,Australian Grand Prix,2015-03-15,Lewis Hamilton,British,Mercedes,German,25.0,58,1:30.945,1,0
2014,Abu Dhabi Grand Prix,2014-11-23,Lewis Hamilton,British,Mercedes,German,50.0,55,1:45.599,2,1
2014,Brazilian Grand Prix,2014-11-09,Nico Rosberg,German,Mercedes,German,25.0,71,1:13.619,1,0
2014,United States Grand Prix,2014-11-02,Lewis Hamilton,British,Mercedes,German,25.0,56,1:41.929,2,1
2014,Russian Grand Prix,2014-10-12,Lewis Hamilton,British,Mercedes,German,25.0,53,1:41.606,1,0
2014,Japanese Grand Prix,2014-10-05,Lewis Hamilton,British,Mercedes,German,25.0,44,1:51.600,2,1
2014,Singapore Grand Prix,2014-09-21,Lewis Hamilton,British,Mercedes,German,25.0,60,1:50.417,1,0
2014,Italian Grand Prix,2014-09-07,Lewis Hamilton,British,Mercedes,German,25.0,53,1:28.004,1,0
2014,Belgian Grand Prix,2014-08-24,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,44,1:52.974,5,4
2014,Hungarian Grand Prix,2014-07-27,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,70,1:26.608,4,3
2014,German Grand Prix,2014-07-20,Nico Rosberg,German,Mercedes,German,25.0,67,1:21.298,1,0
2014,British Grand Prix,2014-07-06,Lewis Hamilton,British,Mercedes,German,25.0,52,1:37.176,6,5
2014,Austrian Grand Prix,2014-06-22,Nico Rosberg,German,Mercedes,German,25.0,71,1:12.598,3,2
2014,Canadian Grand Prix,2014-06-08,Daniel Ricciardo,Australian,Red Bull,Austrian,25.0,70,1:18.640,6,5
2014,Monaco Grand Prix,2014-05-25,Nico Rosberg,German,Mercedes,German,25.0,78,1:19.425,1,0
2014,Spanish Grand Prix,2014-05-11,Lewis Hamilton,British,Mercedes,German,25.0,66,1:29.483,1,0
2014,Chinese Grand Prix,2014-04-20,Lewis Hamilton,British,Mercedes,German,25.0,54,1:41.196,1,0
2014,Bahrain Grand Prix,2014-04-06,Lewis Hamilton,British,Mercedes,German,25.0,57,1:37.108,2,1
2014,Malaysian Grand Prix,2014-03-30,Lewis Hamilton,British,Mercedes,German,25.0,56,1:43.066,1,0
2014,Australian Grand Prix,2014-03-16,Nico Rosberg,German,Mercedes,German,25.0,57,1:32.478,3,2
